Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Box Package Type (product.metafields.custom.box_package_type),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Gemstone type (product.metafields.shopify.gemstone-type),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Stone shape (product.metafields.shopify.stone-shape),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Arab Emirates,Price / United Arab Emirates,Compare At Price / United Arab Emirates,Included / Bahrain,Price / Bahrain,Compare At Price / Bahrain,Included / Kuwait,Price / Kuwait,Compare At Price / Kuwait,Included / Oman,Price / Oman,Compare At Price / Oman,Included / Qatar,Price / Qatar,Compare At Price / Qatar,Included / Rest Of the World,Price / Rest Of the World,Compare At Price / Rest Of the World,Included / Saudi,Price / Saudi,Compare At Price / Saudi,Status
carla-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/w_24ba233e-0bbb-478d-837e-5fe7d3646da1.jpg?v=1788790370,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carla-rose-gold-premium-rhodium-plated-alloy-ring-with-high-quality-simulated-diamonds,Carla Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds,"<p class=""PDq2pG_selectionAnchorContainer"">Elevate your style with the <strong>Carla Rose Gold Premium Ring</strong>, featuring a sophisticated rose gold finish and high-quality simulated diamonds for an elegant and luxurious sparkle. Its refined design complements both modern and traditional GCC fashion, making it a beautiful choice for weddings, engagements, celebrations, evening events, and special occasions.</p>
<p><strong>Product Features:</strong></p>
<ul>
<li>Premium rose gold-tone finish</li>
<li>Rhodium-plated alloy construction</li>
<li>High-quality simulated diamonds for a brilliant sparkle</li>
<li>Elegant and sophisticated design</li>
<li>Comfortable for extended wear</li>
<li>Suitable for weddings, engagements, parties, and formal occasions</li>
<li>Perfect for elegant everyday styling</li>
<li>Ideal as a thoughtful gift for special occasions</li>
<li>Complements GCC fashion and traditional occasion wear</li>
</ul>
<p><strong>Style:</strong> Elegant | Luxury | Feminine | Timeless<br><strong>Perfect For:</strong> Weddings | Engagements | Celebrations | Evening Events | Gifting</p>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Rings,Luxury Sets,Luxury Sets,true,Color,rose-gold,product.metafields.shopify.color-pattern,Ring size,7,product.metafields.shopify.ring-size,,,,ZA3451R1C10,0.0,shopify,1,deny,manual,180.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_18ab34f1-ca4e-4d6e-b234-33e55c2fa1ce.jpg?v=1788789077,1,"",false,,,,,,rose-gold,,cubic-zirconia,alloy; rhodium-plated-1,imitation-jewelry,,band,7,round,,,,,,,kg,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
carla-rose-gold-premium-rhodium-plated-alloy-ring-with-high-quality-simulated-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_daf103bc-2f12-4a46-8827-0dfa3d4a7e39.jpg?v=1788789077,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carla-rose-gold-premium-rhodium-plated-alloy-ring-with-high-quality-simulated-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/w_1aca2865-05f9-4e82-9e9f-b1a48e903f7e.jpg?v=1788789077,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carla-rose-gold-premium-rhodium-plated-alloy-ring-with-high-quality-simulated-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/r_a453b9a9-483f-4304-a18f-121613557cdc.jpg?v=1788789077,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carla-rose-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,Carla Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds,"<p class=""PDq2pG_selectionAnchorContainer"">Elevate your style with the <strong>Carla Rose Gold Premium Necklace</strong>, featuring a sophisticated rose gold finish and high-quality simulated diamonds for a refined and luxurious sparkle. Its elegant design complements both modern and traditional GCC fashion, making it a beautiful choice for weddings, engagements, celebrations, evening events, and special occasions.</p>
<p><strong>Product Features:</strong></p>
<ul>
<li>Premium rose gold-tone finish</li>
<li>Rhodium-plated alloy construction</li>
<li>High-quality simulated diamonds for a brilliant sparkle</li>
<li>Elegant and sophisticated design</li>
<li>Comfortable for extended wear</li>
<li>Suitable for weddings, engagements, parties, and formal occasions</li>
<li>Perfect for elegant everyday styling</li>
<li>Ideal as a thoughtful gift for special occasions</li>
<li>Complements GCC fashion and traditional occasion wear</li>
</ul>
<p><strong>Style:</strong> Elegant | Luxury | Feminine | Timeless<br><strong>Perfect For:</strong> Weddings | Engagements | Celebrations | Evening Events | Gifting</p>",whatsapp,Apparel & Accessories > Jewelry > Necklaces,"","",true,Color,rose-gold,product.metafields.shopify.color-pattern,,,,,,,ZA3451N1C10,0.0,shopify,1,deny,manual,450.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_e6684925-524d-4242-8ea4-599a5ab57716.jpg?v=1788787613,1,"",false,,,,,,rose-gold,,,alloy; rhodium-plated-1,imitation-jewelry,pendant,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
carla-rose-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_2cd25ceb-e529-42eb-a08d-2836c9e6b630.jpg?v=1788787613,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
althea-rose-gold-premium-rhodium-plated-alloy-bangle-with-high-quality-simulated-diamonds,Althea Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds,"<p>Elevate your style with the <strong>Althea Rose Gold Premium Bangle</strong>, featuring a sophisticated rose gold finish and high-quality simulated diamonds that add a refined and luxurious sparkle. Its elegant design blends beautifully with both modern and traditional GCC fashion, making it a perfect accessory for weddings, engagements, celebrations, evening events, and special occasions.</p>
<p class=""""><strong>Product Features:</strong></p>
<ul>
<li>Premium rose gold-tone finish</li>
<li>Rhodium-plated alloy construction</li>
<li>High-quality simulated diamonds for a brilliant sparkle</li>
<li>Elegant and sophisticated design</li>
<li>Comfortable for extended wear</li>
<li>Suitable for weddings, engagements, parties, and formal occasions</li>
<li>Perfect for elegant everyday styling</li>
<li>Ideal as a thoughtful gift for special occasions</li>
<li>Complements GCC fashion and traditional occasion wear</li>
</ul>
<p><strong>Style:</strong> Elegant | Luxury | Feminine | Timeless<br><strong>Perfect For:</strong> Weddings | Engagements | Celebrations | Evening Events | Gifting</p>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Bracelets,Luxury Sets,Luxury Sets,true,Color,rose-gold,product.metafields.shopify.color-pattern,Bracelet size,Adjustable,,,,,ZA3451BC10,0.0,shopify,1,deny,manual,380.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_89fcba60-f828-4a47-b4f7-f1ebb8950018.jpg?v=1788785997,1,"",false,,,,,bangle,rose-gold,,,alloy; rhodium-plated-1,imitation-jewelry,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
althea-rose-gold-premium-rhodium-plated-alloy-bangle-with-high-quality-simulated-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_1ae1821b-0931-465b-bb9b-cb99afe2d724.jpg?v=1788785996,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
althea-rose-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,Althea Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds,"<p class=""PDq2pG_selectionAnchorContainer"">Elevate your style with the <strong>Althea Rose Gold Premium Necklace</strong>, featuring a sophisticated rose gold finish and high-quality simulated diamonds for an elegant and luxurious sparkle. Its refined design beautifully complements both modern and traditional GCC fashion, making it an ideal accessory for weddings, engagements, celebrations, evening events, and other special occasions.</p>
<p><strong>Product Features:</strong></p>
<ul>
<li>Premium rose gold-tone finish</li>
<li>Rhodium-plated alloy construction</li>
<li>High-quality simulated diamonds for a brilliant sparkle</li>
<li>Elegant and sophisticated design</li>
<li>Comfortable for extended wear</li>
<li>Suitable for weddings, engagements, parties, and formal occasions</li>
<li>Perfect for elegant everyday styling</li>
<li>Ideal as a thoughtful gift for special occasions</li>
<li>Complements GCC fashion and traditional occasion wear</li>
</ul>
<p><strong>Style:</strong> Elegant | Luxury | Feminine | Timeless<br><strong>Perfect For:</strong> Weddings | Engagements | Celebrations | Evening Events | Gifting</p>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Necklaces,Luxury Sets,Luxury Sets,true,Color,rose-gold,product.metafields.shopify.color-pattern,,,,,,,ZA3451NC10,0.0,shopify,1,deny,manual,420.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_5654c5b5-16a4-4d53-a9f5-ae81df98f4ab.jpg?v=1788784767,1,"",false,,,,,,rose-gold,,,alloy; rhodium-plated-1,imitation-jewelry,pendant,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
althea-rose-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_bb094cec-4707-4390-b904-560893c23848.jpg?v=1788784767,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
althea-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,Althea Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds,"<p class=""PDq2pG_selectionAnchorContainer"">Elevate your look with the <strong>Althea Rose Gold Premium Earrings</strong>, featuring a sophisticated rose gold finish and high-quality simulated diamonds for an elegant and luxurious sparkle. Their refined design complements both modern and traditional GCC fashion, making them a beautiful choice for weddings, engagements, celebrations, evening events, and special occasions.</p>
<p><strong>Product Features:</strong></p>
<ul>
<li>Premium rose gold-tone finish</li>
<li>Rhodium-plated alloy construction</li>
<li>High-quality simulated diamonds for a brilliant sparkle</li>
<li>Elegant and sophisticated design</li>
<li>Comfortable for extended wear</li>
<li>Suitable for weddings, engagements, parties, and formal occasions</li>
<li>Perfect for elegant everyday styling</li>
<li>Ideal as a thoughtful gift for special occasions</li>
<li>Complements GCC fashion and traditional occasion wear</li>
</ul>
<p><strong>Style:</strong> Elegant | Luxury | Feminine | Timeless<br><strong>Perfect For:</strong> Weddings | Engagements | Celebrations | Evening Events | Gifting</p>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Earrings,Luxury Sets,Luxury Sets,true,Color,rose-gold,product.metafields.shopify.color-pattern,,,,,,,ZA3451EC10,0.0,shopify,1,deny,manual,320.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_3a72e3f9-f0a4-4d08-861c-5024216f84e4.jpg?v=1788783200,1,"",false,,,,,,rose-gold,dangle,,alloy; rhodium-plated-1,imitation-jewelry,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
althea-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_fe2526f8-e592-4258-8fef-b9024ff377c8.jpg?v=1788783200,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
althea-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/w_904f034d-f6ca-492b-a47a-e04c2c87836d.jpg?v=1788783200,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
althea-rose-gold-premium-rhodium-plated-alloy-ring-with-high-quality-simulated-diamonds,Althea Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds,"<p class=""PDq2pG_selectionAnchorContainer"">Elevate your style with the <strong>Althea Rose Gold Premium Ring</strong>, featuring a sophisticated rose gold finish and high-quality simulated diamonds for an elegant and luxurious sparkle. Its refined design complements both modern and traditional GCC fashion, making it a beautiful choice for weddings, engagements, celebrations, evening events, and special occasions.</p>
<p><strong>Product Features:</strong></p>
<ul>
<li>Premium rose gold-tone finish</li>
<li>Rhodium-plated alloy construction</li>
<li>High-quality simulated diamonds for a brilliant sparkle</li>
<li>Elegant and sophisticated design</li>
<li>Comfortable for extended wear</li>
<li>Suitable for weddings, engagements, parties, and formal occasions</li>
<li>Perfect for elegant everyday styling</li>
<li>Ideal as a thoughtful gift for special occasions</li>
<li>Complements GCC fashion and traditional occasion wear</li>
</ul>
<p><strong>Style:</strong> Elegant | Luxury | Feminine | Timeless<br><strong>Perfect For:</strong> Weddings | Engagements | Celebrations | Evening Events | Gifting</p>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Rings,Luxury Sets,Luxury Sets,true,Color,rose-gold,product.metafields.shopify.color-pattern,Ring size,7,product.metafields.shopify.ring-size,,,,ZA3451RC10,0.0,shopify,1,deny,manual,220.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_5a16d836-7a99-463d-83e7-7f63f21ad5ef.jpg?v=1788781455,1,"",false,,,,,,rose-gold,,cubic-zirconia,alloy; rhodium-plated-1,imitation-jewelry,,band,7,round,,,,,,,kg,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
